,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
MMM,0.0,1.0,0.33,0.67,0.33,0.67,0.33,0.67,0.67,0.33,1.0,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.0,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33,0.33
AXP,1.0,0.0,0.33,0.67,0.33,0.67,0.33,0.67,0.67,0.33,1.0,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.0,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33,0.33
AAPL,0.33,0.33,0.0,0.0,1.0,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,1.0,0.0,0.67,0.67,0.33,1.0
BA,0.67,0.67,0.0,0.0,0.0,1.0,0.0,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,1.0,0.33,0.33,0.67,0.0
CAT,0.33,0.33,1.0,0.0,0.0,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,1.0,0.0,0.67,0.67,0.33,1.0
CVX,0.67,0.67,0.0,1.0,0.0,0.0,0.0,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,1.0,0.33,0.33,0.67,0.0
CSCO,0.33,0.33,1.0,0.0,1.0,0.0,0.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,1.0,0.0,0.67,0.67,0.33,1.0
KO,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.0,0.33,0.0,0.67,0.33,1.0,0.33,0.67,1.0,0.67,0.33,0.67,0.33,1.0,1.0,0.33,0.33,0.67,0.33,0.33,0.33,0.0,0.67
DD,0.67,0.67,0.0,1.0,0.0,1.0,0.0,0.33,0.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,1.0,0.33,0.33,0.67,0.0
XOM,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.0,0.67,0.0,0.33,0.67,0.0,0.67,0.33,0.0,0.33,0.67,0.33,0.67,0.0,0.0,0.67,0.67,0.33,0.67,0.67,0.67,1.0,0.33
GE,1.0,1.0,0.33,0.67,0.33,0.67,0.33,0.67,0.67,0.33,0.0,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.0,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33,0.33
GS,0.67,0.67,0.0,1.0,0.0,1.0,0.0,0.33,1.0,0.67,0.67,0.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,1.0,0.33,0.33,0.67,0.0
HD,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.33,0.0,0.67,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.67,0.33,1.0,1.0,0.33,0.33,0.67,0.33,0.33,0.33,0.0,0.67
IBM,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,0.0,0.67,0.33,0.0,0.33,0.67,0.33,0.33,0.33,1.0,0.33,0.67,0.33,1.0,1.0,0.67,0.67
INTC,0.33,0.33,1.0,0.0,1.0,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,0.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,1.0,0.0,0.67,0.67,0.33,1.0
JNJ,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.33,0.0,0.67,0.33,1.0,0.33,0.67,0.0,0.67,0.33,0.67,0.33,1.0,1.0,0.33,0.33,0.67,0.33,0.33,0.33,0.0,0.67
JPM,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.67,0.67,0.33,0.33,0.67,0.67,0.0,0.33,0.67,0.0,0.67,0.33,0.67,0.67,0.67,0.0,0.67,0.33,0.67,0.0,0.0,0.33,0.33
MCD,0.67,0.67,0.0,1.0,0.0,1.0,0.0,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,0.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,1.0,0.33,0.33,0.67,0.0
MRK,1.0,1.0,0.33,0.67,0.33,0.67,0.33,0.67,0.67,0.33,1.0,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.0,0.0,0.67,0.67,0.67,0.67,0.33,0.67,0.67,0.67,0.33,0.33
MSFT,0.0,0.0,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.0,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.0,0.0,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.67,0.67
NKE,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.33,0.0,0.67,0.33,1.0,0.33,0.67,1.0,0.67,0.33,0.67,0.33,0.0,1.0,0.33,0.33,0.67,0.33,0.33,0.33,0.0,0.67
PFE,0.67,0.67,0.67,0.33,0.67,0.33,0.67,1.0,0.33,0.0,0.67,0.33,1.0,0.33,0.67,1.0,0.67,0.33,0.67,0.33,1.0,0.0,0.33,0.33,0.67,0.33,0.33,0.33,0.0,0.67
PG,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,1.0,0.67,0.33,0.0,0.33,0.67,0.33,0.33,0.33,0.0,0.33,0.67,0.33,1.0,1.0,0.67,0.67
TRV,0.67,0.67,0.0,1.0,0.0,1.0,0.0,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,0.0,0.0,1.0,0.33,0.33,0.67,0.0
UNH,0.33,0.33,1.0,0.0,1.0,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,0.0,0.0,0.67,0.67,0.33,1.0
UTX,0.67,0.67,0.0,1.0,0.0,1.0,0.0,0.33,1.0,0.67,0.67,1.0,0.33,0.33,0.0,0.33,0.67,1.0,0.67,0.33,0.33,0.33,0.33,1.0,0.0,0.0,0.33,0.33,0.67,0.0
VZ,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,1.0,0.67,0.33,0.0,0.33,0.67,0.33,0.33,0.33,1.0,0.33,0.67,0.33,0.0,1.0,0.67,0.67
V,0.67,0.67,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.67,0.67,0.33,0.33,1.0,0.67,0.33,0.0,0.33,0.67,0.33,0.33,0.33,1.0,0.33,0.67,0.33,1.0,0.0,0.67,0.67
WMT,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.0,0.67,1.0,0.33,0.67,0.0,0.67,0.33,0.0,0.33,0.67,0.33,0.67,0.0,0.0,0.67,0.67,0.33,0.67,0.67,0.67,0.0,0.33
DIS,0.33,0.33,1.0,0.0,1.0,0.0,1.0,0.67,0.0,0.33,0.33,0.0,0.67,0.67,1.0,0.67,0.33,0.0,0.33,0.67,0.67,0.67,0.67,0.0,1.0,0.0,0.67,0.67,0.33,0.0
